Date,death,deathIncrease,inIcuCumulative,inIcuCurrently,hospitalizedIncrease,hospitalizedCurrently,hospitalizedCumulative,negative,negativeIncrease,onVentilatorCumulative,onVentilatorCurrently,positive,positiveIncrease,recovered,states,totalTestResults,totalTestResultsIncrease
2020-01-22,,0,,,0,,,0,0,,,0,0,,2,1,0
2020-01-23,,0,,,0,,,0,0,,,0,0,,2,2,1
2020-01-24,,0,,,0,,,0,0,,,0,0,,2,2,0
2020-01-25,,0,,,0,,,0,0,,,0,0,,2,2,0
2020-01-26,,0,,,0,,,0,0,,,0,0,,2,2,0
2020-01-27,,0,,,0,,,0,0,,,0,0,,2,3,1
2020-01-28,,0,,,0,,,0,0,,,0,0,,2,3,0
2020-01-29,,0,,,0,,,0,0,,,0,0,,3,5,2
2020-01-30,,0,,,0,,,0,0,,,0,0,,3,5,0
2020-01-31,,0,,,0,,,0,0,,,0,0,,3,8,3
2020-02-01,,0,,,0,,,0,0,,,0,0,,3,8,0
2020-02-02,,0,,,0,,,0,0,,,0,0,,3,8,0
2020-02-03,,0,,,0,,,0,0,,,0,0,,3,11,3
2020-02-04,,0,,,0,,,0,0,,,0,0,,3,15,4
2020-02-05,,0,,,0,,,0,0,,,0,0,,3,15,0
2020-02-06,,0,,,0,,,0,0,,,0,0,,3,16,1
2020-02-07,,0,,,0,,,0,0,,,0,0,,3,16,0
2020-02-08,,0,,,0,,,0,0,,,0,0,,3,18,2
2020-02-09,,0,,,0,,,0,0,,,0,0,,3,18,0
2020-02-10,0.0,0,,,0,,,0,0,,,0,0,,4,19,1
2020-02-11,0.0,0,,,0,,,0,0,,,0,0,,4,20,1
2020-02-12,0.0,0,,,0,,,0,0,,,0,0,,4,21,1
2020-02-13,0.0,0,,,0,,,0,0,,,0,0,,4,22,1
2020-02-14,0.0,0,,,0,,,0,0,,,0,0,,4,22,0
2020-02-15,0.0,0,,,0,,,0,0,,,0,0,,5,26,4
2020-02-16,0.0,0,,,0,,,0,0,,,0,0,,5,28,2
2020-02-17,0.0,0,,,0,,,0,0,,,0,0,,5,29,1
2020-02-18,0.0,0,,,0,,,0,0,,,0,0,,5,29,0
2020-02-19,0.0,0,,,0,,,0,0,,,0,0,,5,35,6
2020-02-20,0.0,0,,,0,,,0,0,,,0,0,,5,36,1
2020-02-21,0.0,0,,,0,,,0,0,,,0,0,,5,37,1
2020-02-22,0.0,0,,,0,,,0,0,,,0,0,,5,38,1
2020-02-23,0.0,0,,,0,,,0,0,,,0,0,,5,38,0
2020-02-24,0.0,0,,,0,,,0,0,,,0,0,,5,40,2
2020-02-25,0.0,0,,,0,,,0,0,,,0,0,,5,41,1
2020-02-26,2.0,2,,,0,,,0,0,,,0,0,,5,41,0
2020-02-27,2.0,0,,,0,,,0,0,,,0,0,,7,6487,6446
2020-02-28,4.0,2,,,0,,,0,0,,,0,0,,7,6490,3
2020-02-29,5.0,1,,,0,,,24,24,,,18,18,,7,6552,62
2020-03-01,8.0,3,,,0,,,85,61,,,50,32,,9,6660,108
2020-03-02,11.0,3,,,0,,,243,158,,,94,44,,9,6872,212
2020-03-03,14.0,3,,,0,,,446,203,,,144,50,,11,7163,291
